FECHA CREACIÓN;No. REQUERIMIENTO;DESCRIPCION REQUERIMIENTO ;APLICACIÓN;MÓDULO;GERENCIA;AREA;USUARIO;EMPRESA CONSULTORA;CONSULTOR;ESTADO REQUERIMIENTOS;FECHA ASIGNACIÓN;FECHA ESTIMADA DE ENTREGA;FECHA DE CIERRE;OBSERVACION
09/06/2014;6000000080;NO GENERA REPORTE Y SACA ERROR;;CO-OM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/06/2014;6000000081;FALTA DE AUTORIZACIÓN CONTABILIZAR FBCJ;SAP;FI-GL;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/06/2014;6000000082;NO GENERA EL REPORTE DE TARJETAS;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;Trabajo en conjunto con Hasel Espinoza
23/06/2014;6000000090;VL02N BLOQUEO AL BORRAR ENTREGAS;;LE-SHP;PROYECTO NIIF;PROYECTO NIIF;SIN USUARIO;SIN EMPRESA;SIN CONSULTOR;ANULADO;ANULADO;ANULADO;ANULADO;
23/06/2014;6000000091;ERROR EN MIGO Y ZMIGO_ZT5;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;SIN USUARIO;SIN EMPRESA;SIN CONSULTOR;ANULADO;ANULADO;ANULADO;ANULADO;
23/06/2014;6000000092;ERROR AL ANULAR ENTREGA VL02N;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
23/06/2014;6000000093;ERROR MIGO NORMAL Y TRAZA;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
25/06/2014;6000000094;ERROR CONTABILIZACIÓN MOV MCÍA MOV 602;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/06/2014;6000000095;ERROR CONTABILIZACIÓN AJUSTES INVENTARIO;SAP;MM-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/07/2014;6000000100;ERRORES CROSS SELLING;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/07/2014;6000000101;SALTOS EN RANGO DE FACTURACIÓN;;SD-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/07/2014;6000000110;ERROR EXTRACTO DE CUENTA ASOCIADOS;SAP;FI-GL;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/07/2014;6000000111;ERROR ZEXTRACTO_ASOC;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/07/2014;6000000112;ERROR EN TRANSACCIÓN FBCJ;;TR-TM;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/07/2014;6000000113;GRUPO DE OPERACIONES NO ACTUALIZADAS CO;;CO-PA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/07/2014;6000000120;NOVEDADES EHP7.;;BC-ABA;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
24/09/2014;6000000130;MENSAJE DE PRUEBA CAPACITACIÓN 24-SEPT;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
25/09/2014;6000000131;MONITOREAR BD - TABLAS E INDICES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/09/2014;6000000132;REPORTE OBSOLETO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
27/09/2014;6000000133;NO SE PUEDE ABRIR PERIODOS Y LA VARIANTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
27/09/2014;6000000134;OBSOLETA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
27/09/2014;6000000135;PARAMETROS NO ESTAN DEFINIDOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/09/2014;6000000140;DESPLAZAMIENTO DE PERIODOS MMPV;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/09/2014;6000000141;ERROR EN CARGUE DE BACH.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/09/2014;6000000142;NO HAY AUTORIZACION PARA EL BALANCE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/09/2014;6000000143;NO SE PUEDE CONTABILIZAR EN TRAN. F-43;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
29/09/2014;6000000144;NO SE PUEDE CONTABILIZAR EN TRAN. F-90;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000145;NO HAY AUTORIZACIÓN PARA EJECUTAR LF10N;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000146;ERROR CAPTURA PEDIDO DE VENTAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000147;PRUEBA ERROR TRANSACCION KCH4;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000148;NO ACCESO A LA TRANSACCION F.14;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000149;ERROR TRANSANCCION ZKP06;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
30/09/2014;6000000150;NO ES POSIBLE ACCEDER A LA TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000151;NO SE PUEDEN REALIZAR TRASLADOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000152;SIN AUTORIZACION PARA LEDGER 0L;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000153;FALTA AUTORIZACIÓN TRANSACCIÓN FAGLB03;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000154;SIN AUTORIZACION PARA LEDGER 0L;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000155;ERROR TRANSANCCION KA06;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000156;NO PERMITE CONSULTAR TODO EL DOC FI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000157;SIN AUTORIZACION PARA CONTABILIZAR EN SE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000158;CONTABILIZACIÓN COBRO A PROVEEDORES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000159;SIN AUTORIZACION PARA AM75;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000160;ANULACION DE DOCUMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
01/10/2014;6000000161;TRANSACCION F.01;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000162;SIN AUTORIZACION PARA CONTALIZAR SEGMENT;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000163;SIN AUTORIZACION PARA VISUALIZAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000164;NO SE PUEDE REALIZAR LA CONTABILIZACIÓN.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000165;NO SE PUEDE REALIZAR LA CONTABILIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000166;PERIODO CONTABLE NO ABIERTO;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000167;LISTA DE VISUALIZACION DIFERENTE A PRD;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000168;ERROR CONTABILIZACIÓN NÓMINA;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000169;NO SE PUEDE REALIZAR LA CONTABILIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000170;ACCESO A AUTORIZACION PARA SEGMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000171;PANTALLA DE VISUALIZACION DIFERENTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000172;SIN ACCESO CONSULTA BALANCE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000173;ACCESO A AUTORIZACION PARA SEGMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000174;VISUALIZACION TERCERA PANTALLA DETALLE D;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000175;NO SE PUEDE REALIZAR EL CARGUE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000176;ERROR AL AEJECUTAR LA TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000177;ERROR AL EJECUTAR LA TRAN ZFI023I;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000178;NO ES POSIBLE COMPENSAR POR FALTA DE AUT;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000179;SIN AUTORIZACION PARA CONTABILIZAR SEGME;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000180;NO SE PUEDE COMPENSAR DEUDORES;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000181;SIN AUTORIZACION PARA COMPENSAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000182;SIN AUTORIZACION PARA AM75;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000183;SIN AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000184;2015 CALENDARIO DE FABRICACION NO VALIDO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000185;2015 CALENDARIO DE FABRICACION NO VALIDO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000186;2015 CALENDARIO DE FABRICACION NO VALIDO;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000187;NO SE MODIFICA FECHA DE INGRESO 2015;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
02/10/2014;6000000188;CONTABILIZACIONES EN EL 2015 NO VALIDAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000189;NO REALIZA LA CONTABILIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000190;NO REALIZA LA CONTABILIZACIÓN;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000191;NO REALIZA LA CONTABILIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000192;NO REALIZA LA CONTABILIZACIÓN;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000193;NO TENGO AUTORIZACION VISUALIZAR LEDGER;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000194;ERROR POR CENTRO DE BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000195;SE NESECITA DESGLOSE POR CEBE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000196;NO SE PUEDEN ANULAR DOCUMENTOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000197;NO ES POSIBLE ANULAR;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000198;NO ES POSIBLE ANULAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/10/2014;6000000199;NO SE PUEDE CONTABILIZAR.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/10/2014;6000000200;ERROR CONTABILIZACION F-02;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
04/10/2014;6000000201;FALTA ASIGNAR CENTRO DE COSTOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000205;PANTALLA DE VISUALIZACION DIFERENTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000206;ERROR DE VISUALIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000207;PERIODO DE CONTABILIZACION SIN APERTURA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000208;PERIODO DE CONTABILIZACION SIN APERTURA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000209;FALTA AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000210;EL DOCUMENTO GENERADO NO APARECE IMPRESO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000211;PERIODO DE CONTABILIZACION SIN APERTURA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000212;ERROR AL AEJECUTAR LA TRAN F.01;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000213;ACCESO A LEDGER OL EN SOCIEDAD 1000;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/10/2014;6000000214;ERROR AL EJECUTAR TRANS F-28;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000215;NO TIENE AUTORIZACION PARA EL SEGMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000216;CAMPO P. BALANCE CENTRO DE BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000217;F-32.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000218;NO PERMITE LA CONTABILIZACION F-43;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000219;FALTA DE AUTORIZACION FAGLB03;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000220;F.01 SIN GENERAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000221;NO PERMITE REGISTRAR TRANSACCIONES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/10/2014;6000000222;ERROR EN CONTABILIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
